place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Alicún,CALLE ALICUN 24,Bicipark Recuerdo,"Calle Hiedra, 26",4924342.11
Instalación Deportiva Municipal Básica Aliseda,CALLE ALISEDA c/v Real Betis,Bicipark Recuerdo,"Calle Hiedra, 26",4913527.66
Instalación Deportiva Municipal Básica Almudena,CALLE NICOLAS SALMERON 8,Bicipark Recuerdo,"Calle Hiedra, 26",4917411.92
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),CALLE AJOFRIN s/n,Bicipark Recuerdo,"Calle Hiedra, 26",4918103.01
Instalación Deportiva Municipal Básica Americio,CALLE AMERICIO s/n,Bicipark Recuerdo,"Calle Hiedra, 26",4910862.84
Instalación Deportiva Municipal Básica Ana Tutor,AVENIDA CARDENAL HERRERA ORIA 216,Bicipark Recuerdo,"Calle Hiedra, 26",4925799.68
Instalación Deportiva Municipal Básica Andévalo,CALLE ANDEVALO 6 Aparcamiento,Bicipark Recuerdo,"Calle Hiedra, 26",4912761.37
Instalación Deportiva Municipal Básica Anfevi,CALLE HACIENDA DE PAVONES 127 Posterior,Bicipark Recuerdo,"Calle Hiedra, 26",4915758.67
Instalación Deportiva Municipal Básica Aniceto Marinas,CALLE ANICETO MARINAS 106,Bicipark Recuerdo,"Calle Hiedra, 26",4919562.88
Instalación Deportiva Municipal Básica Antonio Machado,CALLE ANTONIO MACHADO 14 Posterior,Bicipark Recuerdo,"Calle Hiedra, 26",4923306.68
Instalación Deportiva Municipal Básica Antonio Pirala,CALLE ANTONIO PIRALA s/n,Bicipark Recuerdo,"Calle Hiedra, 26",4918934.42
Instalación Deportiva Municipal Básica Arcaute,AVENIDA INVIERNO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4919726.39
Instalación Deportiva Municipal Básica Arcos de Jalón,CALLE ARCOS DE JALON s/n c/v Albericia,Bicipark Recuerdo,"Calle Hiedra, 26",4917878.77
Instalación Deportiva Municipal Básica Arequipa,CALLE AREQUIPA 12,Bicipark Recuerdo,"Calle Hiedra, 26",4922998.01
Instalación Deportiva Municipal Básica Arganda,CALLE ARGANDA 10,Bicipark Recuerdo,"Calle Hiedra, 26",4915918.81
Instalación Deportiva Municipal Básica Arjona,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,Bicipark Recuerdo,"Calle Hiedra, 26",4916224.11
Instalación Deportiva Municipal Básica Arriaga,AVENIDA DAROCA 95,Bicipark Recuerdo,"Calle Hiedra, 26",4918176.67
Instalación Deportiva Municipal Básica Arroyo Belincoso,AVENIDA DOCTOR GARCIA TAPIA 76 c/v calle Arroyo Belincoso,Bicipark Recuerdo,"Calle Hiedra, 26",4916799.78
Instalación Deportiva Municipal Básica Arroyo Fontarrón,CALLE ARROYO FONTARRON 381,Bicipark Recuerdo,"Calle Hiedra, 26",4914878.58
Instalación Deportiva Municipal Básica Arroyo Media Legua,INST. DEPORTIVA BASICA ARROYO DE LA MEDIA LEGUA ,Bicipark Recuerdo,"Calle Hiedra, 26",4917933.93
Instalación Deportiva Municipal Básica Arroyo de Opañel,CALLE ARROYO OPAÑEL 12,Bicipark Recuerdo,"Calle Hiedra, 26",4914709.13
Instalación Deportiva Municipal Básica Aster - Lirios,AVENIDA ALFONSO XIII (posterior) 126 Posterior,Bicipark Recuerdo,"Calle Hiedra, 26",4922055.31
Instalación Deportiva Municipal Básica Auditorio de Chamartín,PLAZA JOAQUIN RODRIGO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4920702.64
Instalación Deportiva Municipal Básica Auditorio de Moratalaz,CALLE HACIENDA DE PAVONES 209,Bicipark Recuerdo,"Calle Hiedra, 26",4915513.05
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30,"CALLE RAMON ARECES 1 frente Avda. Moratalaz, 13",Bicipark Recuerdo,"Calle Hiedra, 26",4916435.97
Instalación Deportiva Municipal Básica Avenida San Luis I,AVENIDA SAN LUIS (frentealnº86),Bicipark Recuerdo,"Calle Hiedra, 26",4923441.79
Instalación Deportiva Municipal Básica Avenida de Brasil,AVENIDA BRASIL 19 c/v C/ General Yagüe,Bicipark Recuerdo,"Calle Hiedra, 26",4922140.59
Instalación Deportiva Municipal Básica Ayacucho,CALLE NEVADO DEL RUIZ 2,Bicipark Recuerdo,"Calle Hiedra, 26",4923070.47
Instalación Deportiva Municipal Básica Bacares (Rocódromo),CALLE BACARES 9,Bicipark Recuerdo,"Calle Hiedra, 26",4924001.39
Instalación Deportiva Municipal Básica Bacares (fútbol),CALLE BACARES 27,Bicipark Recuerdo,"Calle Hiedra, 26",4924135.08
Instalación Deportiva Municipal Básica Bahía de Santander II,CALLE BAHIA DE SANTANDER 64,Bicipark Recuerdo,"Calle Hiedra, 26",4922256.39
