place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Enrique Tierno Galván,PARQUE ENRIQUE TIERNO GALVAN ,Beata,Calle Alicante nº 3,647.04
Instalación Deportiva Municipal Básica Eros,CALLE EROS 6,Méndez Álvaro,Calle Retama nº 5,365.66
Instalación Deportiva Municipal Básica Esfinge,CALLE ESFINGE 60 c/v Circe,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3054.47
Instalación Deportiva Municipal Básica Esperanza I - Agrupación Deportiva Esperanza,CALLE SILVANO 65,Carlota O’Neill,Calle Carlota O'Neill nº 32,1890.58
Instalación Deportiva Municipal Básica Esperanza II,CALLE SILVANO 61,Carlota O’Neill,Calle Carlota O'Neill nº 32,1780.25
Instalación Deportiva Municipal Básica Estanque de las Tormentas,CALLE ARROYO DE POZUELO 6,Facultad Derecho,Avenida Complutense nº 23,3366.81
Instalación Deportiva Municipal Básica Estefanita,CALLE ESTEFANITA 7 Detrás del CEIP El Greco,Embajadores 191,Calle Sodio nº 1B,5014.66
Instalación Deportiva Municipal Básica Estíbaliz,CALLE ESTIBALIZ 30,Pío XII,Avenida Pío XII nº 3,2583.82
Instalación Deportiva Municipal Básica Euterpe,CALLE EUTERPE 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4630.89
Instalación Deportiva Municipal Básica Eva Duarte,CALLE DOCTOR GOMEZ ULLA 9,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,281.21
Instalación Deportiva Municipal Básica Evangelios-Almendrales,CALLE EVANGELIOS 4,Glorieta de Cádiz,Calle Antonio López nº 129,633.84
Instalación Deportiva Municipal Básica Fermín Caballero,CALLE FERMIN CABALLERO 88,Remonta,Calle Azucenas nº 1,2589.03
Instalación Deportiva Municipal Básica Francisco Laguna,CALLE FRANCISCO LAGUNA 26,Concordia,Calle Arroyo del Olivar nº 6,503.11
Instalación Deportiva Municipal Básica Francisco de Goya (antigua Mozart),INST. DEPORTIVA BASICA MOZART ,Paseo de la Florida,Paseo de la Florida nº 8,416.54
Instalación Deportiva Municipal Básica Frontón Orcasitas,AVENIDA RAFAELA YBARRA 103 Parque de Orcasitas,Glorieta de Cádiz,Calle Antonio López nº 129,2277.23
Instalación Deportiva Municipal Básica Frontón Polideportivo San Fermín,CALLE SAN MAXIMO 10,Embajadores 191,Calle Sodio nº 1B,1479.77
Instalación Deportiva Municipal Básica Frontón San Fermín,CAMINO DE PERALES 136 c/v calle de Torrox,Embajadores 191,Calle Sodio nº 1B,2168.1
Instalación Deportiva Municipal Básica Frontón Tudelillas,AVENIDA PABLO IGLESIAS 62,Pablo Iglesias,Calle Francisco Balseiro nº 1,57.8
Instalación Deportiva Municipal Básica Frontón Zofio (antiguo Zofío II),CALLE RICARDO BELTRAN Y ROZPIDE 16,Glorieta de Cádiz,Calle Antonio López nº 129,1813.6
Instalación Deportiva Municipal Básica Fuente Espina,CALLE FUENTESPINA 29,Pavones,Calle Hacienda de Pavones nº 342,3345.99
Instalación Deportiva Municipal Básica Fuente de Lima,CALLE FUENTE DE LIMA 24,Caramuel,Calle Caramuel nº 51,5398.11
Instalación Deportiva Municipal Básica Fuerte de Navidad,CALLE FUERTE DE NAVIDAD  c/v La Isabela,Caramuel,Calle Caramuel nº 51,4385.08
Instalación Deportiva Municipal Básica Félix Rodríguez de la Fuente,CALLE FELIX RODRIGUEZ DE LA FUENTE 3,Camino Vinateros,Calle Camino de los Vinateros nº 28,473.15
Instalación Deportiva Municipal Básica Galeón,CALLE GALEON 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5498.39
Instalación Deportiva Municipal Básica Garrovillas,PLAZA GARROVILLAS S/N,Caramuel,Calle Caramuel nº 51,5358.85
Instalación Deportiva Municipal Básica General Millán Astray,CALLE GENERAL MILLAN ASTRAY 4,Caramuel,Calle Caramuel nº 51,4697.6
Instalación Deportiva Municipal Básica Glorieta Avenida San Luis,CALLE Añastro 78,Pío XII,Avenida Pío XII nº 3,1301.3
Instalación Deportiva Municipal Básica Glorieta de Segovia,PASEO Ciudad de Plasencia ,Segovia 26,Calle Segovia nº 26,172.79
Instalación Deportiva Municipal Básica Gran Vía de Hortaleza,AVENIDA GRAN VIA DE HORTALEZA 1,Pío XII,Avenida Pío XII nº 3,1554.26
Instalación Deportiva Municipal Básica Guadalajara,AVENIDA GUADALAJARA S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2179.2
Instalación Deportiva Municipal Básica Hermanos Trueba,CALLE HERMANOS TRUEBA 30,Concordia,Calle Arroyo del Olivar nº 6,951.8
Instalación Deportiva Municipal Básica Hogar del Ferroviario,"AVENIDA MEDITERRANEO S/N Colonia Ferroviarios, frente a Manuel Mª Arrillaga, 51",Camino Vinateros,Calle Camino de los Vinateros nº 28,489.44
Instalación Deportiva Municipal Básica Hornero,CALLE HORNERO 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1165.36
Instalación Deportiva Municipal Básica Huerta de la Salud,CALLE ALCOBENDAS 3,Pío XII,Avenida Pío XII nº 3,3364.55
Instalación Deportiva Municipal Básica Illescas,CALLE ILLESCAS  c/v Pº Extremadura,Caramuel,Calle Caramuel nº 51,3428.87
Instalación Deportiva Municipal Básica Imagen,CALLE IMAGEN 23,Concordia,Calle Arroyo del Olivar nº 6,1173.57
Instalación Deportiva Municipal Básica Isabel Patacón,CALLE ISABEL PATACON S/N Barrio de Buenavista,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4064.16
Instalación Deportiva Municipal Básica Isla de Tabarca,CALLE SANTIAGO DE COMPOSTELA 104 c/v Isla de Tabarca,Francos Rodríguez,Calle Francos Rodríguez nº 62,2482.94
Instalación Deportiva Municipal Básica Iván de Vargas,TRAVESIA IVAN DE VARGAS 4,Ermita Santo,Paseo de la Ermita del Santo nº 48,449.78
Instalación Deportiva Municipal Básica Jacinto Verdaguer,CALLE JACINTO VERDAGUER 17,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,298.53
Instalación Deportiva Municipal Básica Jardines Alhambra,CALLE ALHAMBRA  c/v Carlos Fuentes,Caramuel,Calle Caramuel nº 51,1534.85
Instalación Deportiva Municipal Básica Jardines General Fanjul,AVENIDA LAS AGUILAS ,Caramuel,Calle Caramuel nº 51,3882.04
Instalación Deportiva Municipal Básica Jardines Vía Carpetana,CALLE VIA CARPETANA S/N c/v Laguna,Caramuel,Calle Caramuel nº 51,2163.0
Instalación Deportiva Municipal Básica Jardines de Bucaramanga,AVENIDA BUCARAMANGA 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,3279.72
Instalación Deportiva Municipal Básica Jardín Canarias,CALLE CANARIAS 19,Palos de la Frontera,Calle Palos de la Frontera nº 27,110.32
Instalación Deportiva Municipal Básica Jardín Chico de la Eterna Sonrisa,CALLE LA RIOJA 25,Carlota O’Neill,Calle Carlota O'Neill nº 32,5633.01
